Filename,URL,Description,Function
icon_document_bitcoin.png,https://pplx-res.cloudinary.com/image/upload/v1749027680/gpt4o_images/ypvbzp9gt1qzfo4ro5li.png,Bitcoin document icon with dark blue and gold styling,Bitcoin/cryptocurrency document representation
icon_dashboard.png,https://pplx-res.cloudinary.com/image/upload/v1749027731/gpt4o_images/at4hhenjuexnu9dql7ck.png,Dashboard analytics icon with dark blue styling,Main dashboard and analytics view
icon_collector.png,https://pplx-res.cloudinary.com/image/upload/v1749027785/gpt4o_images/lqbsqw27cjyhurm82pco.png,Data collector icon with funnel and gear design,Data collection and processing
icon_file_manager.png,https://pplx-res.cloudinary.com/image/upload/v1749027843/gpt4o_images/skxhhiskweaj2tgk4zds.png,File manager folder icon with dark blue styling,File management and organization
icon_balancer.png,https://pplx-res.cloudinary.com/image/upload/v1749027896/gpt4o_images/au5bbughbsvythq3bzin.png,Balance scale icon with dark blue styling,Load balancing and data distribution
icon_analytics.png,https://pplx-res.cloudinary.com/image/upload/v1749027946/gpt4o_images/nn3c0xvao7iryygc6hcc.png,Analytics line chart icon with dark blue styling,Data analytics and visualization
icon_settings.png,https://pplx-res.cloudinary.com/image/upload/v1749028000/gpt4o_images/gruxvarlqxckdtbu0cv0.png,Settings gear icon with dark blue styling,Application settings and configuration
icon_checkmark.png,https://pplx-res.cloudinary.com/image/upload/v1749028054/gpt4o_images/rimohgbmbo7yg2srxb3r.png,Success checkmark icon with green styling,Success status and completion indicator
icon_warning.png,https://pplx-res.cloudinary.com/image/upload/v1749028102/gpt4o_images/xmwxagsqevbdz7orch6r.png,Warning alert icon with red styling,Warning and alert notifications
icon_info.png,https://pplx-res.cloudinary.com/image/upload/v1749028151/gpt4o_images/vugmzgzs42hk6n2vjg4h.png,Information icon with blue styling,Information and help messages
icon_spinner.png,https://pplx-res.cloudinary.com/image/upload/v1749028208/gpt4o_images/ub3r7qe2vic9jayzmnbo.png,Loading spinner icon with dark blue styling,Loading and processing indicator
icon_pause.png,https://pplx-res.cloudinary.com/image/upload/v1749028249/gpt4o_images/aoeqzfblwrzidzfurfte.png,Pause control icon with dark blue styling,Pause operation control
icon_play.png,https://pplx-res.cloudinary.com/image/upload/v1749028310/gpt4o_images/l03afy2xwcqncmmizkye.png,Play control icon with dark blue styling,Start/play operation control
icon_next.png,https://pplx-res.cloudinary.com/image/upload/v1749028363/gpt4o_images/b1d52v4h57mshddzh8en.png,Next forward control icon with dark blue styling,Next/forward navigation control
icon_stop.png,https://pplx-res.cloudinary.com/image/upload/v1749028433/gpt4o_images/xvgjoplajahjvjjbfxgx.png,Stop control icon with dark blue styling,Stop operation control
